adj,freq,sem_class,p/d
cute,8,other,child-directed
just,6,other,child-directed
less,1,other,child-directed
slime,1,physical,child-directed
yellow,2,color,child-directed
awful,3,value,child-directed
bright,1,other,child-directed
skin,4,other,child-directed
slow,1,other,child-directed
chinese,1,other,child-directed
young,1,age,child-directed
late,3,other,child-directed
jam,1,other,child-directed
black,2,color,child-directed
pretty,19,other,child-directed
orange,5,color,child-directed
east,1,other,child-directed
smart,3,other,child-directed
real,15,other,child-directed
brown,3,color,child-directed
good,20,value,child-directed
big,50,dimension,child-directed
fat,6,dimension,child-directed
front,1,other,child-directed
bit,1,other,child-directed
silver,1,color,child-directed
cool,3,other,child-directed
fluff,2,other,child-directed
correct,1,other,child-directed
bad,6,value,child-directed
small,4,dimension,child-directed
soft,3,physical,child-directed
mean,2,other,child-directed
heavy,1,other,child-directed
square,1,shape,child-directed
old,7,age,child-directed
chunk,1,other,child-directed
hard,1,physical,child-directed
back,2,other,child-directed
dead,1,age,child-directed
dumb,1,other,child-directed
dear,1,other,child-directed
special,1,other,child-directed
blue,6,color,child-directed
purple,1,color,child-directed
crust,2,other,child-directed
jolly,3,other,child-directed
teeny,3,dimension,child-directed
rotten,2,age,child-directed
health,1,other,child-directed
new,8,age,child-directed
bird,1,other,child-directed
red,6,color,child-directed
dirt,1,other,child-directed
wild,1,other,child-directed
busy,1,other,child-directed
strong,3,other,child-directed
shine,4,other,child-directed
great,10,value,child-directed
last,6,other,child-directed
quiet,1,other,child-directed
american,2,other,child-directed
loud,1,other,child-directed
first,1,other,child-directed
cheese,3,other,child-directed
naughty,1,other,child-directed
love,2,other,child-directed
fancy,1,other,child-directed
brave,1,other,child-directed
long,16,dimension,child-directed
thick,2,dimension,child-directed
little,99,dimension,child-directed
wobble,1,other,child-directed
tiny,16,dimension,child-directed
plastic,1,material,child-directed
live,5,other,child-directed
shiver,2,other,child-directed
white,5,color,child-directed
happy,1,other,child-directed
flat,1,dimension,child-directed
yuck,2,other,child-directed
tawny,1,color,child-directed
brand,5,other,child-directed
warm,5,other,child-directed
crank,1,other,child-directed
western,1,other,child-directed
central,1,other,child-directed
gold,1,color,child-directed
glitzy,1,other,child-directed
chatter,2,other,child-directed
funk,2,other,child-directed
fleece,1,other,child-directed
wool,1,material,child-directed
gentle,1,other,child-directed
double,1,other,child-directed
pretend,1,other,child-directed
grey,2,color,child-directed
silly,1,other,child-directed
thin,3,dimension,child-directed
fun,7,other,child-directed
glottal,1,other,child-directed
beautiful,6,other,child-directed
sad,2,other,child-directed
juice,1,other,child-directed
right,1,other,child-directed
sharp,1,physical,child-directed
craze,1,other,child-directed
huge,2,dimension,child-directed
itsy,1,dimension,child-directed
cross,1,other,child-directed
same,5,other,child-directed
hot,5,other,child-directed
sick,1,other,child-directed
grand,1,value,child-directed
soap,1,other,child-directed
nice,33,value,child-directed
poor,11,value,child-directed
okay,1,value,child-directed
sneak,1,other,child-directed
wrong,2,other,child-directed
misshapen,1,shape,child-directed
bitsy,1,dimension,child-directed
stripe,1,other,child-directed
tall,7,dimension,child-directed
short,2,dimension,child-directed
natural,1,other,child-directed
light,3,other,child-directed
clear,2,other,child-directed
cheek,6,other,child-directed
craft,1,other,child-directed
green,11,color,child-directed
clean,3,other,child-directed
english,3,other,child-directed
alright,3,value,child-directed
fresh,2,age,child-directed
left,1,other,child-directed
weeny,1,dimension,child-directed
poor,3,value,child-produced
own,3,other,child-produced
old,15,age,child-produced
ole,1,age,child-produced
just,1,other,child-produced
cute,1,other,child-produced
sweet,5,other,child-produced
back,1,other,child-produced
yellow,3,color,child-produced
slick,1,other,child-produced
fun,1,other,child-produced
bright,2,other,child-produced
naughty,1,other,child-produced
right,1,other,child-produced
long,4,dimension,child-produced
dear,1,other,child-produced
sharp,1,physical,child-produced
next,1,other,child-produced
open,1,other,child-produced
special,2,other,child-produced
blue,2,color,child-produced
happy,2,other,child-produced
little,44,dimension,child-produced
busy,3,other,child-produced
lemon,1,other,child-produced
tough,1,other,child-produced
snuggle,1,other,child-produced
wobble,1,other,child-produced
royal,1,other,child-produced
live,2,other,child-produced
tiny,9,dimension,child-produced
jolly,2,other,child-produced
teeny,5,dimension,child-produced
hot,3,other,child-produced
quiet,1,other,child-produced
black,1,color,child-produced
wide,1,dimension,child-produced
late,1,color,child-produced
new,4,age,child-produced
large,1,dimension,child-produced
smell,3,other,child-produced
soap,1,other,child-produced
red,7,color,child-produced
nice,16,value,child-produced
real,8,other,child-produced
brown,5,color,child-produced
head,1,other,child-produced
good,3,value,child-produced
crash,1,other,child-produced
dirt,4,other,child-produced
big,46,dimension,child-produced
brand,3,other,child-produced
frost,1,other,child-produced
fat,4,dimension,child-produced
boss,1,other,child-produced
wild,1,other,child-produced
spare,1,other,child-produced
dead,2,age,child-produced
same,1,other,child-produced
awful,1,value,child-produced
quick,1,other,child-produced
strong,2,other,child-produced
cross,1,other,child-produced
cool,1,other,child-produced
gray,1,color,child-produced
great,4,value,child-produced
pink,1,color,child-produced
last,1,other,child-produced
even,1,other,child-produced
light,2,other,child-produced
rowdy,1,other,child-produced
grey,1,color,child-produced
round,1,shape,child-produced
french,1,other,child-produced
ugly,1,other,child-produced
bad,14,value,child-produced
stupid,2,other,child-produced
green,4,color,child-produced
small,1,dimension,child-produced
through,1,other,child-produced
wicked,2,other,child-produced
loud,1,other,child-produced
undercover,2,other,child-produced
cheese,1,other,child-produced
mean,1,other,child-produced
