adj,freq,sem_class,p/d
cute,10,other,child-directed
just,3,other,child-directed
sleepy,3,other,child-directed
yellow,24,color,child-directed
bright,5,other,child-directed
naughty,2,other,child-directed
same,3,other,child-directed
skin,1,other,child-directed
rough,1,physical,child-directed
jolly,1,other,child-directed
nasty,4,value,child-directed
wriggle,1,other,child-directed
slop,1,other,child-directed
gold,1,color,child-directed
wee,8,dimension,child-directed
young,12,age,child-directed
black,13,color,child-directed
pretty,20,other,child-directed
orange,8,color,child-directed
east,2,other,child-directed
smart,6,other,child-directed
real,13,other,child-directed
brown,48,color,child-directed
good,22,value,child-directed
waterproof,1,other,child-directed
big,247,dimension,child-directed
horrible,1,value,child-directed
fat,15,dimension,child-directed
albino,1,other,child-directed
awful,1,value,child-directed
looney,1,other,child-directed
bit,4,other,child-directed
handy,1,other,child-directed
cool,1,other,child-directed
huff,1,other,child-directed
fluff,10,other,child-directed
crisp,1,other,child-directed
grey,1,color,child-directed
wooden,5,material,child-directed
bulge,1,other,child-directed
bad,15,value,child-directed
fuzz,4,other,child-directed
small,6,dimension,child-directed
soft,5,physical,child-directed
round,5,shape,child-directed
mean,3,other,child-directed
heavy,2,other,child-directed
old,27,age,child-directed
ole,3,age,child-directed
hard,1,physical,child-directed
back,1,other,child-directed
horn,1,other,child-directed
hair,1,other,child-directed
noise,2,other,child-directed
dear,1,other,child-directed
blue,21,color,child-directed
eensie,1,dimension,child-directed
horrid,1,value,child-directed
purple,2,color,child-directed
sun,3,other,child-directed
thirst,1,other,child-directed
loll,2,other,child-directed
teeny,3,dimension,child-directed
sparkle,1,other,child-directed
rotten,3,age,child-directed
dutch,2,other,child-directed
podgy,1,dimension,child-directed
new,28,age,child-directed
red,64,color,child-directed
crunch,2,other,child-directed
grease,2,other,child-directed
dirt,2,other,child-directed
even,1,other,child-directed
french,2,other,child-directed
wild,1,other,child-directed
strong,18,other,child-directed
laze,1,other,child-directed
shine,3,other,child-directed
great,22,value,child-directed
last,2,other,child-directed
whine,1,other,child-directed
yum,1,other,child-directed
itty,1,dimension,child-directed
puff,1,other,child-directed
loud,1,other,child-directed
scare,1,other,child-directed
first,4,other,child-directed
trim,1,other,child-directed
own,6,other,child-directed
love,9,other,child-directed
point,1,other,child-directed
weensie,1,dimension,child-directed
hollow,1,other,child-directed
tiny,32,dimension,child-directed
delicious,1,other,child-directed
fake,1,other,child-directed
chubby,1,dimension,child-directed
thick,1,dimension,child-directed
open,1,other,child-directed
little,221,dimension,child-directed
faint,1,other,child-directed
long,13,dimension,child-directed
plastic,2,material,child-directed
white,20,color,child-directed
bubble,1,other,child-directed
empty,1,other,child-directed
happy,12,other,child-directed
clever,8,other,child-directed
enough,1,other,child-directed
