adj,freq,class,subjectivity,best performing,difference lex-sub,input_score,lexical_score,sub_score,p2exp_d,age,input strings,output strings
cute,7,value,0.787272727272727,input,0.051248430069735257,0.52446047504872695,0.27445165358538376,0.2232032235156485,"[0.9375, 0.87871205636399552, 0.86073615592282871]",2,"cute little ,cute little ,cute little ,cute little ,cute little ,cute red ,cute red ,","cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,"
gold,1,color,0.214166666666667,sub,-0.015733614465660239,0.5625,0.78834396584235478,0.80407758030801502,"[0.25, 0.1121126389894072, 0.10329626949141391]",2,"fancy gold ,","big gold ,big gold ,"
sleepy,1,human,0.546,lexical,0.27119012117740848,0.015625,0.39014672206501544,0.11895660088760697,"[0.75, 0.26929403250213829, 0.50819132837686687]",2,"sleepy old ,","new sleepy ,new sleepy ,new sleepy ,"
yellow,89,color,0.343333333333333,input,0.0013592516910748949,0.19516481660162319,0.0013593980537779319,1.4636270303691444e-07,"[0.027777777777777776, 0.10756839512747121, 0.23763562537442587]",2,"nice yellow ,strange yellow ,big yellow ,blue yellow ,nice yellow ,little yellow ,bright yellow ,dirty yellow ,shiny yellow ,clear yellow ,long yellow ,small yellow ,long yellow ,tiny yellow ,strong yellow ,dark yellow ,giant yellow ,hard yellow ,tiny yellow ,golden yellow ,small yellow ,bright yellow ,huge yellow ,new yellow ,soft yellow ,bright yellow ,old yellow ,little yellow ,sharp yellow ,big yellow ,tiny yellow ,brilliant yellow ,flat yellow ,beautiful yellow ,long yellow ,bright yellow ,bright yellow ,hard yellow ,light yellow ,yellow brown ,last yellow ,giant yellow ,pale yellow ,golden yellow ,large yellow ,small yellow ,bright yellow ,thick yellow ,little yellow ,bright yellow ,bright yellow ,yellow plastic ,big yellow ,thick yellow ,famous yellow ,long yellow ,bright yellow ,empty yellow ,dirty yellow ,huge yellow ,early yellow ,large yellow ,dry yellow ,little yellow ,long yellow ,bright yellow ,pale yellow ,soft yellow ,pale yellow ,ancient yellow ,huge yellow ,long yellow ,large yellow ,new yellow ,pale yellow ,thin yellow ,pale yellow ,brilliant yellow ,big yellow ,big yellow ,heavy yellow ,long yellow ,bright yellow ,large yellow ,bright yellow ,bright yellow ,gorgeous yellow ,bright yellow ,little yellow ,","little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,special yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,big yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,round yellow ,little yellow ,big yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,big yellow ,little yellow ,little yellow ,big yellow ,soft yellow ,little yellow ,little yellow ,big yellow ,little yellow ,big yellow ,green yellow ,nice yellow ,big yellow ,"
bright,98,color,0.464,sub,-0.1596986687504092,2.9544957971596508e-12,7.9723927762498264e-05,0.1597783926781717,"[0.9444444444444444, 0.10709763412195934, 0.39546817727424194]",2,"bright blue ,bright blue ,bright red ,bright white ,nice bright ,nice bright ,nice bright ,big bright ,bright new ,bright polar ,bright new ,nice bright ,bright red ,bright pink ,bright yellow ,bright red ,bright white ,bright blue ,bright new ,bright red ,bright new ,bright new ,bright old ,bright red ,bright new ,bright new ,bright purple ,bright red ,bright new ,bright yellow ,bright blue ,bright blue ,bright brown ,bright red ,bright green ,bright blue ,bright yellow ,bright red ,bright green ,bright blue ,bright yellow ,bright new ,bright new ,bright blue ,bright red ,bright blue ,bright red ,bright red ,bright yellow ,bright red ,bright green ,bright green ,bright blue ,bright red ,bright wooden ,bright red ,bright blue ,bright yellow ,bright red ,bright red ,bright red ,bright blue ,bright yellow ,bright yellow ,bright blue ,bright red ,bright red ,bright red ,bright yellow ,bright blue ,bright blue ,bright red ,bright yellow ,bright red ,bright red ,bright red ,bright new ,bright green ,bright red ,bright red ,bright green ,bright green ,bright green ,bright green ,bright green ,bright green ,bright green ,bright red ,bright yellow ,bright red ,bright red ,bright yellow ,bright green ,bright yellow ,bright red ,bright red ,bright red ,bright yellow ,","bright red ,nice bright ,bright green ,nice bright ,nice bright ,nice bright ,bright green ,nice bright ,bright green ,bright green ,nice bright ,bright green ,nice bright ,bright green ,nice bright ,nice bright ,nice bright ,nice bright ,nice bright ,nice bright ,nice bright ,bright wee ,bright red ,bright red ,"
cold,20,physical,0.69,lexical,0.25345419054565987,0.33620829284094589,0.39141094411201943,0.13795675356635959,"[0.5476190476190477, 0.47701338961809908, 0.75285271420091027]",2,"nice cold ,big cold ,hard cold ,cold last ,cold last ,big cold ,big cold ,bad cold ,nice cold ,horrid cold ,cold next ,dark cold ,cold new ,cold old ,cold old ,cold blue ,cold green ,cold hard ,cold blue ,cold blue ,","nice cold ,nice cold ,cold full ,"
slow,2,speed,0.504285714285714,sub,-0.079752582746594691,0.5,0.4879252484042903,0.56767783115088499,"[0.5, 0.5120747515957097, 0.43232216884911495]",2,"slow just ,heavy slow ,","long slow ,"
just,3,value,0.60125,input,-0.12779117929567804,0.765625,0.014759171680731391,0.14255035097640945,"[0.125, 0.8785126686410003, 0.62244159262915433]",2,"french just ,slow just ,odd just ,","good just ,okay just ,"
wee,N/A,dimension,0.762857142857143,N/A,0.0,0.081023646052926779,0.081023646052926779,0.081023646052926779,not in input,2,,"gorgeous wee ,bright wee ,awful wee ,wee high ,good wee ,wee quick ,awful wee ,wee hungry ,poor wee ,wee tiny ,good wee ,poor wee ,wee tiny ,awful wee ,good wee ,awful wee ,wee tiny ,wee old ,wee old ,wee old ,wee tiny ,wee red ,good wee ,awful wee ,wee tiny ,wee second ,wee second ,wee old ,wee tiny ,awful wee ,wee tiny ,good wee ,wee red ,wee red ,wee red ,wee tiny ,"
young,35,age,0.551538461538462,lexical,4.9141513084431637e-09,5.9094579756546727e-10,4.9141522500542646e-09,9.4161110076247462e-16,"[0.39705882352941174, 0.36587138986187295, 0.5612319080034367]",2,"good young ,young exciting ,nice young ,new young ,new young ,young black ,good young ,young young ,stupid young ,new young ,new young ,young young ,old young ,small young ,young black ,nice young ,nice young ,new young ,young new ,exciting young ,nice young ,nice young ,nice young ,nice young ,nice young ,good young ,young hard ,young green ,young red ,young new ,young new ,young green ,young brown ,","beautiful young ,new young ,beautiful young ,beautiful young ,new young ,beautiful young ,beautiful young ,beautiful young ,beautiful young ,beautiful young ,beautiful young ,beautiful young ,beautiful young ,beautiful young ,beautiful young ,beautiful young ,beautiful young ,beautiful young ,beautiful young ,beautiful young ,beautiful young ,beautiful young ,new young ,beautiful young ,beautiful young ,beautiful young ,new young ,beautiful young ,new young ,beautiful young ,new young ,beautiful young ,beautiful young ,beautiful young ,beautiful young ,beautiful young ,beautiful young ,beautiful young ,beautiful young ,beautiful young ,new young ,beautiful young ,"
