adj,freq,class,subjectivity,best performing,difference lex-sub,input_score,lexical_score,sub_score,p2exp_d,age,input strings,output strings
cute,7,value,0.787272727272727,lexical,0.024238915510336578,0.36056657659599978,0.36616444359959477,0.34192552808925819,"[0.9375, 0.87871205636399552, 0.86073615592282871]",2,"cute little ,cute little ,cute little ,cute little ,cute little ,cute red ,cute red ,","cute little ,cute little ,cute little ,little cute ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,cute little ,"
gold,1,color,0.214166666666667,sub,-0.021058722480120973,0.421875,0.69996064340039332,0.7210193658805143,"[0.25, 0.1121126389894072, 0.10329626949141391]",2,"fancy gold ,","small gold ,small gold ,little gold ,"
yellow,89,color,0.343333333333333,lexical,0.18722250008668598,0.034719621367521263,0.23701264342319592,0.049790143336509947,"[0.027777777777777776, 0.10756839512747121, 0.23763562537442587]",2,"nice yellow ,strange yellow ,big yellow ,blue yellow ,nice yellow ,little yellow ,bright yellow ,dirty yellow ,shiny yellow ,clear yellow ,long yellow ,small yellow ,long yellow ,tiny yellow ,strong yellow ,dark yellow ,giant yellow ,hard yellow ,tiny yellow ,golden yellow ,small yellow ,bright yellow ,huge yellow ,new yellow ,soft yellow ,bright yellow ,old yellow ,little yellow ,sharp yellow ,big yellow ,tiny yellow ,brilliant yellow ,flat yellow ,beautiful yellow ,long yellow ,bright yellow ,bright yellow ,hard yellow ,light yellow ,yellow brown ,last yellow ,giant yellow ,pale yellow ,golden yellow ,large yellow ,small yellow ,bright yellow ,thick yellow ,little yellow ,bright yellow ,bright yellow ,yellow plastic ,big yellow ,thick yellow ,famous yellow ,long yellow ,bright yellow ,empty yellow ,dirty yellow ,huge yellow ,early yellow ,large yellow ,dry yellow ,little yellow ,long yellow ,bright yellow ,pale yellow ,soft yellow ,pale yellow ,ancient yellow ,huge yellow ,long yellow ,large yellow ,new yellow ,pale yellow ,thin yellow ,pale yellow ,brilliant yellow ,big yellow ,big yellow ,heavy yellow ,long yellow ,bright yellow ,large yellow ,bright yellow ,bright yellow ,gorgeous yellow ,bright yellow ,little yellow ,","little yellow ,bright yellow ,little yellow ,little yellow ,nice yellow ,bright yellow ,big yellow ,big yellow ,big yellow ,big yellow ,big yellow ,big yellow ,big yellow ,big yellow ,little yellow ,little yellow ,big yellow ,nice yellow ,little yellow ,bright yellow ,big yellow ,little yellow ,bright yellow ,yellow green ,yellow green ,yellow white ,little yellow ,nice yellow ,"
bright,98,color,0.464,sub,-0.19479793128811482,0.00010021208466274502,0.0020152076088478252,0.19681313889696264,"[0.9444444444444444, 0.10709763412195934, 0.39546817727424194]",2,"bright blue ,bright blue ,bright red ,bright white ,nice bright ,nice bright ,nice bright ,big bright ,bright new ,bright polar ,bright new ,nice bright ,bright red ,bright pink ,bright yellow ,bright red ,bright white ,bright blue ,bright new ,bright red ,bright new ,bright new ,bright old ,bright red ,bright new ,bright new ,bright purple ,bright red ,bright new ,bright yellow ,bright blue ,bright blue ,bright brown ,bright red ,bright green ,bright blue ,bright yellow ,bright red ,bright green ,bright blue ,bright yellow ,bright new ,bright new ,bright blue ,bright red ,bright blue ,bright red ,bright red ,bright yellow ,bright red ,bright green ,bright green ,bright blue ,bright red ,bright wooden ,bright red ,bright blue ,bright yellow ,bright red ,bright red ,bright red ,bright blue ,bright yellow ,bright yellow ,bright blue ,bright red ,bright red ,bright red ,bright yellow ,bright blue ,bright blue ,bright red ,bright yellow ,bright red ,bright red ,bright red ,bright new ,bright green ,bright red ,bright red ,bright green ,bright green ,bright green ,bright green ,bright green ,bright green ,bright green ,bright red ,bright yellow ,bright red ,bright red ,bright yellow ,bright green ,bright yellow ,bright red ,bright red ,bright red ,bright yellow ,","nice bright ,bright yellow ,nice bright ,bright yellow ,nice bright ,big bright ,big bright ,bright yellow ,bright yellow ,bright black ,"
rough,10,physical,0.715,lexical,0.24600953195225678,0.070096196235974961,0.32547118524563906,0.079461653293382284,"[0.7727272727272727, 0.47704367301231804, 0.7604900862920756]",2,"good rough ,quick rough ,rough old ,rough old ,rough old ,rough wooden ,rough red ,rough old ,rough brown ,rough wooden ,","vicious rough ,vicious rough ,vicious rough ,rough little ,rough little ,"
perfect,9,value,0.493,input,0.45518013567806098,0.94999999999999996,0.87881182901929789,0.4236316933412369,"[0.95, 0.87881182901929789, 0.4236316933412369]",2,"perfect first ,perfect human ,perfect short ,perfect small ,perfect green ,perfect smooth ,perfect brown ,perfect hard ,perfect good ,","perfect good ,"
just,3,value,0.60125,lexical,0.44554658327550672,0.000244140625,0.59565132827484535,0.15010474499933862,"[0.125, 0.8785126686410003, 0.62244159262915433]",2,"french just ,slow just ,odd just ,","just dirty ,just plain ,just little ,just little ,"
wee,N/A,dimension,0.762857142857143,N/A,0.0,0.00390625,0.00390625,0.00390625,not in input,2,,"wee little ,wee little ,wee little ,wee little ,wee little ,wee little ,wee little ,wee little ,"
young,35,age,0.551538461538462,lexical,0.19536051814156374,0.60294117647058831,0.63412861013812705,0.4387680919965633,"[0.39705882352941174, 0.36587138986187295, 0.5612319080034367]",2,"good young ,young exciting ,nice young ,new young ,new young ,young black ,good young ,young young ,stupid young ,new young ,new young ,young young ,old young ,small young ,young black ,nice young ,nice young ,new young ,young new ,exciting young ,nice young ,nice young ,nice young ,nice young ,nice young ,good young ,young hard ,young green ,young red ,young new ,young new ,young green ,young brown ,","little young ,"
late,8,temporal,0.422307692307692,input,-6.1311603367316907e-06,0.53326192861129718,4.2155444850316674e-08,6.1733157815820076e-06,"[0.9444444444444444, 0.21356601909779388, 0.33605531774777742]",2,"late early ,late last ,late last ,late next ,late last ,late last ,late last ,late last ,","late last ,late last ,late last ,late last ,late last ,late last ,late last ,late last ,late last ,late last ,late last ,"
