class,mean,CI1,CI2,N,label
color,0.1111111111111111,0.031746031746031744,0.22222222222222221,63,"child-directed, 3, not binned"
age,0.70270270270270274,0.40540540540540543,1.1081081081081081,37,"child-directed, 3, not binned"
material,0.0,0.0,0.0,3,"child-directed, 3, not binned"
value,0.9375,0.84375,1.0562499999999999,160,"child-directed, 3, not binned"
shape,0.0,0.0,0.0,7,"child-directed, 3, not binned"
dimension,0.42905405405405406,0.36824324324324326,0.48310810810810811,296,"child-directed, 3, not binned"
physical,0.125,0.0,0.375,8,"child-directed, 3, not binned"
color,0.18181818181818182,0.045454545454545456,0.31818181818181818,22,"child-produced, 3, not binned"
age,0.17857142857142858,0.035714285714285712,0.39285714285714285,28,"child-produced, 3, not binned"
material,0.0,0.0,0.0,1,"child-produced, 3, not binned"
value,0.66666666666666663,0.45454545454545453,0.81818181818181823,33,"child-produced, 3, not binned"
shape,0.0,0.0,0.0,1,"child-produced, 3, not binned"
dimension,0.60526315789473684,0.52105263157894732,0.68421052631578949,190,"child-produced, 3, not binned"
physical,0.25,0.0,0.5,4,"child-produced, 3, not binned"
dimension-age-physical,0.45161290322580644,0.39002932551319647,0.5161290322580645,341,"child-directed, 3, binned"
value,0.9375,0.84375,1.0562499999999999,160,"child-directed, 3, binned"
shape-color-material,0.095890410958904104,0.027397260273972601,0.19178082191780821,73,"child-directed, 3, binned"
dimension-age-physical,0.54504504504504503,0.46846846846846846,0.6216216216216216,222,"child-produced, 3, binned"
value,0.66666666666666663,0.45454545454545453,0.81818181818181823,33,"child-produced, 3, binned"
shape-color-material,0.16666666666666666,0.041666666666666664,0.29166666666666669,24,"child-produced, 3, binned"
